"species","p_values","stress","Significance"
"Descurainia_sophiades",0.00915905112322679,"SA-MeJA","**"
"Descurainia_sophiades",0.0358892518422693,"MeJA-Cntrl","*"
"Descurainia_sophiades",9.72184187220115e-06,"SA-Cntrl","***"
"Barbarea_vulgaris",0.000192752471840585,"MeJA-Cntrl","***"
"Barbarea_vulgaris",0.0170184082087379,"SA-Cntrl","*"
"Barbarea_vulgaris",0.224557185695324,"SA-MeJA","NS"
"Brassica_rapa",0.0332548453812855,"SA-Cntrl","*"
"Brassica_rapa",0.424638532244306,"SA-MeJA","NS"
"Brassica_rapa",0.363186919133304,"MeJA-Cntrl","NS"
"Lobularia_maritima",0.000207988705743456,"SA-MeJA","***"
"Lobularia_maritima",0.29764143025336,"MeJA-Cntrl","NS"
"Lobularia_maritima",0.013711940318484,"SA-Cntrl","*"
