DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,SA
FIELD_COLORS,#1b9e77
FIELD_SHAPES,2
SHOW_INTERNAL,1
MARGIN,0
SIZE_FACTOR,1
SHOW_LABELS,0
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
bASV_7,1
bASV_33,1
bASV_1526,1
bASV_14,1
bASV_314,1
bASV_507,-1
bASV_105,-1
bASV_34,1
bASV_2235,-1
bASV_3132,1
bASV_68,-1
bASV_470,1
bASV_989,-1
bASV_1718,1
bASV_2069,1
bASV_224,-1
bASV_37,1
bASV_888,1
bASV_95,-1
bASV_5526,1
bASV_85,-1
bASV_1348,1
bASV_81,-1
bASV_143,-1
bASV_46,-1
bASV_58,-1
bASV_277,1
bASV_175,1
bASV_4654,1
bASV_255,-1
bASV_72,-1
bASV_104,1
bASV_453,-1
bASV_3347,1
bASV_16,-1
bASV_51,-1
bASV_94,-1
bASV_300,-1
bASV_308,-1
bASV_32,1
bASV_153,-1
bASV_65,1
bASV_79,1
bASV_75,-1
bASV_274,-1
bASV_119,-1
bASV_529,-1
bASV_302,-1
bASV_3328,-1
bASV_999,-1
bASV_390,-1
bASV_40,1
bASV_35,-1
bASV_25,1
bASV_328,-1
bASV_336,-1
bASV_485,-1
bASV_1801,1
bASV_112,-1
bASV_663,1
bASV_117,1
bASV_134,-1
bASV_349,-1
bASV_540,1
bASV_1553,-1
bASV_400,-1
bASV_469,1
bASV_820,1
bASV_2856,1
bASV_716,-1
bASV_1423,-1
bASV_44,1
bASV_322,1
bASV_3893,1
bASV_12691,1
bASV_838,-1
bASV_986,1
bASV_1027,1
bASV_126,1
bASV_8783,1
bASV_80,1
bASV_96,-1
bASV_490,1
bASV_99,-1
bASV_11,-1
bASV_14164,1
bASV_78,-1
bASV_190,-1
bASV_393,-1
bASV_766,-1
bASV_21,1
bASV_62,1
bASV_611,-1
bASV_572,1
bASV_60,1
bASV_262,1
bASV_187,1
bASV_350,1
bASV_161,-1
bASV_13,1
bASV_69,1
bASV_89,1
bASV_66,1
bASV_1659,1
bASV_88,1
bASV_53,1
bASV_189,1
bASV_173,1
bASV_29,1
bASV_155,1
bASV_31,1
bASV_6939,1
bASV_207,-1
bASV_984,1
bASV_990,-1
bASV_18,1
bASV_48,1
bASV_641,-1
bASV_814,1
bASV_50,1
bASV_298,-1
bASV_226,-1
bASV_339,1
bASV_1001,-1
bASV_526,1
bASV_1156,1
bASV_19,1
bASV_310,-1
bASV_115,-1
bASV_141,-1
bASV_73,1
bASV_103,-1
bASV_4479,-1
bASV_439,1
bASV_271,-1
bASV_451,1
bASV_481,1
bASV_964,-1
bASV_1134,1
bASV_1469,-1
bASV_223,1
bASV_229,1
bASV_120,1
bASV_279,-1
bASV_613,-1
bASV_185,-1
bASV_740,-1
bASV_1223,1
bASV_520,1
bASV_1442,1
bASV_622,-1
bASV_1269,1
bASV_209,1
bASV_2847,1
bASV_1094,-1
bASV_3567,-1
bASV_198,-1
bASV_674,1
bASV_601,1
bASV_465,1
bASV_240,1
bASV_1265,-1
bASV_1312,1
bASV_767,-1
bASV_2824,1
bASV_856,-1
bASV_2220,1
bASV_171,1
bASV_648,-1
bASV_234,1
bASV_254,1
bASV_299,-1
bASV_294,-1
bASV_2237,-1
bASV_168,1
bASV_292,1
bASV_1511,-1
bASV_491,1
bASV_138,-1
bASV_391,1
bASV_12,1
bASV_41,1
bASV_52,1
bASV_82,1
bASV_932,-1
bASV_55,1
bASV_1846,1
bASV_458,1
bASV_2045,1
bASV_3223,1
bASV_43,1
bASV_215,-1
bASV_121,1
bASV_1177,1
bASV_480,-1
bASV_527,-1
bASV_840,1
bASV_726,1
bASV_735,1
bASV_1034,-1
bASV_1627,1
bASV_9,1
bASV_23,1
bASV_448,1
bASV_39,1
bASV_108,1
bASV_429,1
bASV_793,-1
bASV_123,-1
bASV_102,1
bASV_242,1
bASV_486,-1
bASV_109,-1
bASV_169,1
bASV_354,1
bASV_812,1
bASV_1098,-1
bASV_1635,1
bASV_87,1
bASV_564,1
bASV_628,-1
bASV_154,1
bASV_358,1
bASV_553,1
bASV_64,1
bASV_203,1
bASV_443,1
bASV_270,1
bASV_433,-1
bASV_597,-1
bASV_688,1
bASV_1131,1
bASV_816,-1
bASV_2190,-1
