LABELS
SEPARATOR TAB
DATA
bASV_7	Pseudomonas-7
bASV_33	Pseudomonas-33
bASV_1526	Cellvibrio-1526
bASV_14	Rhizobacter-14
bASV_314	Rhizobacter-314
bASV_507	bASV-507
bASV_105	Pelomonas-105
bASV_34	Acidovorax-34
bASV_2235	Curvibacter-2235
bASV_3132	Curvibacter-3132
bASV_68	bASV-68
bASV_470	bASV-470
bASV_989	Caenimonas-989
bASV_1718	Ramlibacter-1718
bASV_2069	Ramlibacter-2069
bASV_224	Rhizobacter-224
bASV_37	bASV-37
bASV_888	bASV-888
bASV_95	Rubrivivax-95
bASV_5526	Aquabacterium-5526
bASV_85	bASV-85
bASV_1348	bASV-1348
bASV_81	bASV-81
bASV_143	Ideonella-143
bASV_46	bASV-46
bASV_58	bASV-58
bASV_277	bASV-277
bASV_175	bASV-175
bASV_4654	bASV-4654
bASV_255	bASV-255
bASV_72	Rhizobacter-72
bASV_104	Oxalicibacterium-104
bASV_453	Methylotenera-453
bASV_3347	Methylotenera-3347
bASV_16	Massilia-16
bASV_51	Massilia-51
bASV_94	Massilia-94
bASV_300	Massilia-300
bASV_308	Massilia-308
bASV_32	Massilia-32
bASV_153	Massilia-153
bASV_65	Massilia-65
bASV_79	Massilia-79
bASV_75	Massilia-75
bASV_274	Massilia-274
bASV_119	Massilia-119
bASV_529	Massilia-529
bASV_302	Massilia-302
bASV_3328	Massilia-3328
bASV_999	Massilia-999
bASV_390	Massilia-390
bASV_40	Massilia-40
bASV_35	Massilia-35
bASV_25	Massilia-25
bASV_328	Massilia-328
bASV_336	Massilia-336
bASV_485	Massilia-485
bASV_1801	Massilia-1801
bASV_112	Pseudoduganella-112
bASV_663	Pseudoduganella-663
bASV_117	Pseudoduganella-117
bASV_134	bASV-134
bASV_349	bASV-349
bASV_540	bASV-540
bASV_1553	bASV-1553
bASV_400	Nitrosospira-400
bASV_469	MND1-469
bASV_820	Ellin6067-820
bASV_2856	Ellin6067-2856
bASV_716	SC-I-84-716
bASV_1423	A21b-1423
bASV_44	bASV-44
bASV_322	Lysobacter-322
bASV_3893	Lysobacter-3893
bASV_12691	Lysobacter-12691
bASV_838	Lysobacter-838
bASV_986	Arenimonas-986
bASV_1027	Arenimonas-1027
bASV_126	bASV-126
bASV_8783	Lysobacter-8783
bASV_80	Luteimonas-80
bASV_96	bASV-96
bASV_490	Lysobacter-490
bASV_99	Dokdonella-99
bASV_11	Sphingomonas-11
bASV_14164	bASV-14164
bASV_78	bASV-78
bASV_190	Plot4-2H12-190
bASV_393	Sphingoaurantiacus-393
bASV_766	Sphingomonas-766
bASV_21	Sphingomonas-21
bASV_62	Sphingomonas-62
bASV_611	Sphingomonas-611
bASV_572	Sphingomonas-572
bASV_60	Porphyrobacter-60
bASV_262	Porphyrobacter-262
bASV_187	Altererythrobacter-187
bASV_350	Altererythrobacter-350
bASV_161	Sphingopyxis-161
bASV_13	Rhizobium_group-13
bASV_69	Rhizobium_group-69
bASV_89	Rhizobium_group-89
bASV_66	Rhizobium_group-66
bASV_1659	bASV-1659
bASV_88	bASV-88
bASV_53	Mesorhizobium-53
bASV_189	Mesorhizobium-189
bASV_173	Mesorhizobium-173
bASV_29	Devosia-29
bASV_155	bASV-155
bASV_31	bASV-31
bASV_6939	bASV-6939
bASV_207	bASV-207
bASV_984	Alsobacter-984
bASV_990	Microvirga-990
bASV_18	bASV-18
