DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	DF6_LFC_MeJA-SA_Heatmap
COLOR	#ff0000
FIELD_LABELS	LFC_average_MeJA	LFC_average_SA
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_NAN	#FFFFFF
COLOR_MIN	#2166AC
COLOR_MID	#ebeceb
COLOR_MAX	#B2182B
USER_MID_VALUE	0
FIELD_TREE	(LFC_average_MeJA:1.411770909,LFC_average_SA:1.411770909);
SHOW_TREE	0
USE_MID_COLOR	1
DATA
bASV_7	-0.10608419832874	0.229902569668636
bASV_33	X	0.0606976578564312
bASV_1526	X	0.0728045976123709
bASV_14	-0.0766955370394258	0.0217573691612924
bASV_314	X	-0.111941475657
bASV_507	0.261829216072236	X
bASV_105	-0.0651790542712132	X
bASV_34	X	0.359458452149102
bASV_2235	0.289069030397113	X
bASV_3132	X	0.0888240896451312
bASV_68	0.0169522136102656	X
bASV_470	-0.066385465467863	0.232020435693253
bASV_989	0.331461633440316	X
bASV_1718	X	-0.213937735991775
bASV_2069	X	0.254072046301048
bASV_224	0.171870765231527	X
bASV_37	0.0645535943544438	0.0165176440150113
bASV_888	-0.132746585000821	-0.326794208806041
bASV_95	0.280873098443601	X
bASV_5526	X	0.123392530599797
bASV_85	-0.0634227634426609	X
bASV_1348	0.125757698961137	0.177164725022119
bASV_81	0.0179335849888584	X
bASV_143	-0.199269497268085	X
bASV_46	-0.049533584440635	X
bASV_58	-0.192707232026022	X
bASV_277	X	-0.172633185240799
bASV_175	X	-0.0212597535802982
bASV_4654	X	-0.156218378853161
bASV_255	-0.0804764345794642	X
bASV_72	-0.123968149890654	X
bASV_104	X	-0.498481858349806
bASV_453	-0.0336582834815888	X
bASV_3347	0.310091430625723	-0.559749492670375
bASV_16	-0.158078702243388	X
bASV_51	-0.317749077978559	X
bASV_94	-0.12786563513618	X
bASV_300	0.14938431647468	X
bASV_308	-0.282562206935026	X
bASV_32	X	0.0371633941018282
bASV_153	-0.391088202740968	X
bASV_65	X	0.0918100012645881
bASV_79	-0.0963403180359928	0.265369950717004
bASV_75	-0.0146470477981697	X
bASV_274	-0.0996849774616489	X
bASV_119	0.0324659460545177	X
bASV_529	-0.194805911959302	X
bASV_302	-0.068939778321738	X
bASV_3328	-0.346708866347526	X
