DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,DF8_LFC_MeJA-Direction
COLOR,#ff0000
FIELD_LABELS,#Sp with negative LFC,#Sp with positive LFC
FIELD_COLORS,#4393C3,#D6604D
SHOW_INTERNAL,0
MARGIN,0
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,1000
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
bASV_7,14,8
bASV_14,12,10
bASV_507,7,13
bASV_105,13,9
bASV_2235,4,10
bASV_68,13,9
bASV_470,10,9
bASV_989,6,16
bASV_224,10,11
bASV_37,11,11
bASV_888,11,8
bASV_95,5,17
bASV_85,12,10
bASV_1348,14,8
bASV_81,12,10
bASV_143,15,7
bASV_46,11,11
bASV_58,16,6
bASV_255,13,9
bASV_72,14,8
bASV_453,11,11
bASV_3347,3,12
bASV_16,18,4
bASV_51,16,6
bASV_94,14,8
bASV_300,9,13
bASV_308,14,7
bASV_153,13,6
bASV_79,14,8
bASV_75,12,10
bASV_274,14,8
bASV_119,11,11
bASV_529,12,10
bASV_302,13,9
bASV_3328,13,8
bASV_999,13,9
bASV_390,15,7
bASV_40,17,5
bASV_35,17,5
bASV_25,18,4
bASV_328,14,8
bASV_336,15,7
bASV_485,14,8
bASV_112,13,9
bASV_117,14,8
bASV_134,9,13
bASV_349,7,15
bASV_1553,12,8
bASV_400,9,13
bASV_469,9,13
bASV_716,16,6
bASV_1423,16,5
bASV_44,13,9
bASV_838,12,9
bASV_126,13,9
bASV_96,16,6
bASV_99,10,12
bASV_11,11,11
bASV_14164,4,4
bASV_78,11,11
bASV_190,4,18
bASV_393,9,4
bASV_766,5,17
bASV_21,14,8
bASV_611,17,5
bASV_350,5,17
bASV_161,13,9
bASV_88,8,14
bASV_29,9,13
bASV_155,6,16
bASV_31,4,18
bASV_207,10,12
bASV_990,11,9
bASV_18,8,14
bASV_641,12,10
bASV_298,14,8
bASV_226,4,18
bASV_1001,10,11
bASV_310,10,12
bASV_115,13,9
bASV_141,11,11
bASV_103,4,8
bASV_4479,5,7
bASV_271,10,12
bASV_964,6,16
bASV_1469,8,14
bASV_279,10,12
bASV_613,14,8
bASV_185,13,9
bASV_740,13,9
bASV_622,11,11
bASV_1094,6,15
bASV_3567,13,6
bASV_198,16,6
bASV_240,11,11
bASV_1265,11,10
bASV_1312,9,13
bASV_767,7,15
bASV_856,15,7
bASV_648,13,9
bASV_299,12,10
bASV_294,12,10
bASV_2237,7,14
bASV_1511,13,8
bASV_138,14,8
bASV_391,15,7
bASV_12,4,18
bASV_41,9,13
bASV_82,4,16
bASV_932,3,9
bASV_215,13,9
bASV_480,5,17
bASV_527,15,7
bASV_1034,10,12
bASV_39,10,12
bASV_793,11,8
bASV_123,13,7
bASV_102,9,13
bASV_242,5,17
bASV_486,8,14
bASV_109,3,19
bASV_1098,9,11
bASV_628,9,13
bASV_64,10,12
bASV_443,11,11
bASV_433,11,11
bASV_597,8,14
bASV_688,7,15
bASV_816,11,11
bASV_2190,10,11
