DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,DF9_LFC_SA-Direction
COLOR,#ff0000
FIELD_LABELS,#Sp with negative LFC,#Sp with positive LFC
FIELD_COLORS,#4393C3,#D6604D
SHOW_INTERNAL,0
MARGIN,0
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,1000
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
bASV_7,8,14
bASV_33,10,12
bASV_1526,10,12
bASV_14,8,14
bASV_314,9,13
bASV_34,9,13
bASV_3132,11,11
bASV_470,10,10
bASV_1718,12,10
bASV_2069,8,14
bASV_37,9,13
bASV_888,12,8
bASV_5526,8,11
bASV_1348,12,10
bASV_277,12,10
bASV_175,11,11
bASV_4654,9,8
bASV_104,9,9
bASV_3347,7,1
bASV_32,11,11
bASV_65,11,11
bASV_79,8,14
bASV_40,10,12
bASV_25,10,12
bASV_1801,13,8
bASV_663,10,12
bASV_117,8,14
bASV_540,11,11
bASV_469,5,17
bASV_820,11,11
bASV_2856,7,14
bASV_44,16,6
bASV_322,12,10
bASV_3893,13,9
bASV_12691,14,5
bASV_986,13,9
bASV_1027,12,10
bASV_126,13,9
bASV_8783,12,8
bASV_80,14,8
bASV_490,11,11
bASV_14164,3,6
bASV_21,14,8
bASV_62,16,6
bASV_572,17,5
bASV_60,11,11
bASV_262,12,10
bASV_187,12,10
bASV_350,15,7
bASV_13,13,9
bASV_69,12,10
bASV_89,11,11
bASV_66,11,11
bASV_1659,9,13
bASV_88,11,11
bASV_53,10,12
bASV_189,17,5
bASV_173,11,11
bASV_29,9,13
bASV_155,11,11
bASV_31,9,13
bASV_6939,5,5
bASV_984,12,10
bASV_18,15,7
bASV_48,15,7
bASV_814,7,8
bASV_50,17,5
bASV_339,11,11
bASV_526,12,10
bASV_1156,11,10
bASV_19,4,18
bASV_73,10,12
bASV_439,8,14
bASV_451,10,12
bASV_481,11,11
bASV_1134,7,15
bASV_223,13,9
bASV_229,9,13
bASV_120,12,10
bASV_1223,13,9
bASV_520,15,7
bASV_1442,5,15
bASV_1269,12,10
bASV_209,12,10
bASV_2847,12,9
bASV_674,10,12
bASV_601,12,9
bASV_465,13,9
bASV_240,9,13
bASV_1312,7,15
bASV_2824,12,7
bASV_2220,13,9
bASV_171,10,12
bASV_234,7,15
bASV_254,12,10
bASV_168,14,8
bASV_292,14,8
bASV_491,20,2
bASV_391,13,9
bASV_12,12,10
bASV_41,8,14
bASV_52,5,17
bASV_82,11,9
bASV_55,8,13
bASV_1846,8,14
bASV_458,7,14
bASV_2045,13,9
bASV_3223,10,11
bASV_43,9,13
bASV_121,5,17
bASV_1177,10,12
bASV_840,12,10
bASV_726,11,11
bASV_735,11,11
bASV_1627,14,8
bASV_9,9,13
bASV_23,8,14
bASV_448,9,12
bASV_39,10,12
bASV_108,7,15
bASV_429,9,13
bASV_102,11,11
bASV_242,10,12
bASV_169,10,12
bASV_354,10,12
bASV_812,17,5
bASV_1635,8,12
bASV_87,12,10
bASV_564,14,8
bASV_154,10,12
bASV_358,10,12
bASV_553,10,11
bASV_64,10,12
bASV_203,10,12
bASV_443,12,10
bASV_270,11,11
bASV_688,10,12
bASV_1131,13,9
