DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,binary_data
COLOR,#ff0000
FIELD_LABELS,MeJA
FIELD_COLORS,#E69F00
FIELD_SHAPES,2
SHOW_INTERNAL,1
MARGIN,0
SIZE_FACTOR,1
SHOW_LABELS,0
LABEL_ROTATION,0
HEIGHT_FACTOR,1
SYMBOL_SPACING,10
DATA
fASV_1,1
fASV_3,1
fASV_32,-1
fASV_103,1
fASV_439,1
fASV_136,1
fASV_128,-1
fASV_2,1
fASV_37,-1
fASV_27,-1
fASV_51,1
fASV_31,1
fASV_45,-1
fASV_6,-1
fASV_82,-1
fASV_201,-1
fASV_61,1
fASV_124,-1
fASV_19,1
fASV_191,-1
fASV_120,1
fASV_52,-1
fASV_104,-1
fASV_26,1
fASV_77,1
fASV_42,1
fASV_38,1
fASV_73,1
fASV_85,1
fASV_162,1
fASV_221,-1
fASV_260,1
fASV_250,1
fASV_118,-1
fASV_80,1
fASV_101,1
fASV_92,1
fASV_157,-1
fASV_111,-1
fASV_378,-1
fASV_294,1
fASV_113,1
fASV_48,1
fASV_55,-1
fASV_7,1
fASV_5,1
fASV_14,1
fASV_20,1
fASV_54,1
fASV_8,-1
fASV_62,1
fASV_76,1
fASV_322,-1
fASV_110,-1
fASV_90,1
fASV_144,1
fASV_17,-1
fASV_53,1
fASV_63,1
fASV_102,1
fASV_24,1
fASV_239,1
fASV_236,1
fASV_41,-1
fASV_279,1
fASV_47,1
fASV_44,1
fASV_259,1
fASV_91,1
fASV_34,1
fASV_137,1
fASV_208,-1
fASV_218,1
fASV_468,-1
fASV_301,1
fASV_1396,-1
fASV_9,1
fASV_21,1
fASV_16,1
fASV_130,1
fASV_23,1
fASV_480,1
fASV_309,1
fASV_46,1
fASV_167,1
fASV_81,1
fASV_97,1
fASV_94,1
fASV_25,-1
fASV_115,-1
fASV_58,1
fASV_263,-1
fASV_139,-1
fASV_75,1
fASV_88,1
fASV_114,1
fASV_29,-1
fASV_181,1
fASV_86,1
fASV_107,1
fASV_83,1
fASV_117,1
fASV_212,1
fASV_72,1
fASV_169,1
fASV_78,-1
fASV_187,-1
fASV_65,1
fASV_57,1
fASV_60,1
fASV_528,-1
fASV_30,-1
fASV_35,1
fASV_150,-1
fASV_12,1
fASV_67,-1
fASV_13,1
fASV_22,1
fASV_39,1
