DATASET_HEATMAP
SEPARATOR TAB
DATASET_LABEL	DF6_LFC_MeJA-SA_Heatmap
COLOR	#ff0000
FIELD_LABELS	LFC_average_MeJA	LFC_average_SA
SHOW_INTERNAL	0
MARGIN	0
STRIP_WIDTH	25
COLOR_NAN	#FFFFFF
COLOR_MIN	#2986cc
COLOR_MID	#ebeceb
COLOR_MAX	#ff0000
USER_MID_VALUE	0
FIELD_TREE	(LFC_average_MeJA:4.627526446,LFC_average_SA:4.627526446);
SHOW_TREE	0
USE_MID_COLOR	1
DATA
fASV_1	-0.136791130121575	-0.518346502910322
fASV_3	-0.143020270954229	-0.621592553722737
fASV_32	X	-1.11002646369367
fASV_103	-0.515812175024995	X
fASV_439	-0.821020347074765	X
fASV_136	-1.72553522280753	X
fASV_128	X	-0.670471466584732
fASV_2	-0.606529461459791	-0.811681049998062
fASV_37	X	-0.829115230938955
fASV_27	X	-2.49836260809007
fASV_51	0.000260898651625495	0.250303401115402
fASV_31	0.425234828022046	X
fASV_45	X	-0.928301912215043
fASV_6	X	-0.319939027107898
fASV_82	X	-0.349011389423789
fASV_201	X	-0.863683080975692
fASV_61	0.434469202280311	X
fASV_124	X	1.22398452319427
fASV_19	-0.421336397794183	-0.130366237809038
fASV_191	X	-0.367294768852757
fASV_120	0.433848926728212	X
fASV_52	X	-0.0372244138161078
fASV_104	X	1.84372523742297
fASV_26	-0.604012930270709	-0.643324141297217
fASV_77	0.946755353876445	1.02429302008069
fASV_42	0.511462695237353	0.132665668773175
fASV_38	0.116745894433371	-0.333512603040593
fASV_73	1.14197510382615	X
fASV_85	-1.80937703459587	-1.57598331739534
fASV_162	-1.07479178127703	X
fASV_221	X	-0.320258883864087
fASV_260	0.68211640942787	X
fASV_250	1.48304405585357	X
fASV_118	X	0.185224064160273
fASV_80	0.145216076847953	1.205861818471
fASV_101	0.261746254646372	X
fASV_92	-1.30012307048834	-0.0635043859626803
fASV_157	X	-0.361985959543792
fASV_111	X	0.596185349615374
fASV_378	X	-1.484040253453
fASV_294	-1.14199504927021	-1.1439370288403
fASV_113	-0.904823670879789	-0.504009127837946
fASV_48	-0.705111143426974	-0.406032320851383
fASV_55	X	-0.0540865695621736
fASV_7	-0.0451872023794581	-0.713472794235958
fASV_5	0.91396428020054	0.173247214380412
fASV_14	-0.276813852953683	-0.493701778008406
fASV_20	-0.954843445470943	-0.775475020628066
fASV_54	-2.62991625351222	-1.86489034018572
fASV_8	X	-0.454764278635665
fASV_62	-0.00357427677558054	0.0382775105895509
fASV_76	0.240034317705259	X
fASV_322	X	0.0556025547150135
fASV_110	X	-1.86289565005261
fASV_90	-0.350957733335882	-0.859317447686033
fASV_144	0.097999620284395	-1.04451343065467
fASV_17	X	-1.15376963338623
fASV_53	0.462692322024604	X
fASV_63	-0.308744581951748	1.02939995580076
fASV_102	-1.54235432724792	-0.261321344219706
fASV_24	-0.13531203222632	0.35332028073789
fASV_239	-2.47396376022311	-1.68978756221065
fASV_236	0.859226097969792	1.61619973057398
fASV_41	X	0.143037870419038
fASV_279	0.0310557460988459	X
fASV_47	0.896136829065423	-0.380355744291911
fASV_44	-1.46737275271412	-0.918923929429645
fASV_259	-0.651969163984383	-1.11218531696611
fASV_91	0.0579308406954679	-0.343739249007714
fASV_34	-1.02874842834785	-0.290885148190517
fASV_137	-1.25687338062926	-0.793735064142952
fASV_208	X	-1.43537214030883
fASV_218	-0.867608658242487	-0.784168157913359
fASV_468	X	-0.700278365007754
fASV_301	-0.352511825272571	1.75310737704104
fASV_1396	X	-0.535404567849546
fASV_9	-1.19777798600629	-0.226272641451656
fASV_21	-1.53093311283692	-0.661273881697978
fASV_16	-0.391289934283903	X
fASV_130	-0.897998191628378	-0.789750999378277
fASV_23	-0.985064185037775	0.620641246373093
fASV_480	-0.986919683689569	X
fASV_309	-0.457039768002225	-1.65183983314892
fASV_46	-0.960767902418922	0.0689848975958681
fASV_167	0.76825617898026	X
fASV_81	-3.18847756343078	-1.85826079684007
fASV_97	-2.33638284126376	-0.951521037065696
fASV_94	0.00291044730894015	-1.12327139670894
fASV_25	X	-0.506401795560392
fASV_115	X	-1.34503039975395
fASV_58	-0.377416783746733	X
fASV_263	X	1.25851402503535
fASV_139	X	-0.761799857301519
fASV_75	0.949647731002171	0.9027492237409
fASV_88	-0.881871428490466	X
fASV_114	0.708314991883527	0.0157444084386232
fASV_29	X	-0.118315931705727
fASV_181	-0.510005315483675	-0.823177482448388
fASV_86	0.811741285423969	0.468883770844268
fASV_107	0.146585446784407	0.200658988421672
fASV_83	1.21021860223242	1.03160564708318
fASV_117	-0.654766785284462	-0.429068102013726
fASV_212	-0.322683340117907	X
fASV_72	-0.821247138279785	X
fASV_169	0.255423397144459	0.874332727619404
fASV_78	X	-0.289872452321449
fASV_187	X	-0.363386871892616
fASV_65	0.389357398327099	-0.293089181270107
fASV_57	-0.0534727523588667	-1.06207769938169
fASV_60	1.25168997591184	X
fASV_528	X	0.490928201020567
fASV_30	X	0.053847611583072
fASV_35	-0.427118374527202	-1.64546097408513
fASV_150	X	-0.00989715409604163
fASV_12	0.499410573975131	-1.50434795556511
fASV_67	X	-0.111208748354289
fASV_13	-0.277742010793433	-0.422114192695333
fASV_22	-0.652942357631566	0.0240909642283935
fASV_39	-1.00943244580488	-0.877588557701676
