DATASET_MULTIBAR
SEPARATOR COMMA
DATASET_LABEL,DF9_LFC_SA-Direction
COLOR,#ff0000
FIELD_LABELS,#Sp with negative LFC,#Sp with positive LFC
FIELD_COLORS,#4393C3,#D6604D
SHOW_INTERNAL,0
MARGIN,0
ALIGN_FIELDS,0
DATASET_SCALE,100,300,500,700
WIDTH,1000
HEIGHT_FACTOR,1
BAR_SHIFT,0
DATA
fASV_1,14,8
fASV_3,15,7
fASV_32,10,8
fASV_128,11,6
fASV_2,12,7
fASV_37,4,2
fASV_27,15,3
fASV_51,5,7
fASV_45,8,5
fASV_6,11,11
fASV_82,10,8
fASV_201,11,9
fASV_124,6,9
fASV_19,10,12
fASV_191,10,7
fASV_52,9,10
fASV_104,4,16
fASV_26,13,9
fASV_77,8,13
fASV_42,12,10
fASV_38,13,9
fASV_85,17,5
fASV_221,11,9
fASV_118,8,7
fASV_80,7,15
fASV_92,10,12
fASV_157,12,7
fASV_111,10,12
fASV_378,4,2
fASV_294,6,1
fASV_113,12,10
fASV_48,14,8
fASV_55,11,11
fASV_7,14,8
fASV_5,9,13
fASV_14,10,12
fASV_20,14,8
fASV_54,15,5
fASV_8,14,8
fASV_62,10,11
fASV_322,9,11
fASV_110,13,5
fASV_90,15,7
fASV_144,13,8
fASV_17,15,7
fASV_63,7,15
fASV_102,10,9
fASV_24,10,12
fASV_239,6,2
fASV_236,4,16
fASV_41,11,11
fASV_47,13,9
fASV_44,12,10
fASV_259,3,2
fASV_91,13,8
fASV_34,12,10
fASV_137,14,7
fASV_208,18,3
fASV_218,14,7
fASV_468,12,7
fASV_301,2,10
fASV_1396,3,3
fASV_9,11,11
fASV_21,14,8
fASV_130,13,8
fASV_23,11,10
fASV_309,8,1
fASV_46,10,12
fASV_81,8,2
fASV_97,9,4
fASV_94,15,7
fASV_25,13,9
fASV_115,8,3
fASV_263,4,13
fASV_139,13,9
fASV_75,10,12
fASV_114,11,10
fASV_29,14,8
fASV_181,14,7
fASV_86,9,13
fASV_107,8,12
fASV_83,8,14
fASV_117,12,10
fASV_169,2,4
fASV_78,15,7
fASV_187,8,10
fASV_65,9,13
fASV_57,15,7
fASV_528,8,14
fASV_30,10,12
fASV_35,12,10
fASV_150,10,10
fASV_12,15,7
fASV_67,11,11
fASV_13,11,11
fASV_22,11,11
fASV_39,12,10
