MeJAControl	SAControl	SAMeJA
F1.x$Stress	0.00420071080448681	0.989692431105883	0.00603349902444994
F10.x$Stress	0.00116684871827533	0.00327451378918819	3.95469949010518e-08
F11.x$Stress	0.0849987633281201	0.937670369831373	0.0404977106766883
F2.x$Stress	0.0722689456107658	0.884910610974073	0.0258485439198863
F3.x$Stress	0.661557474402778	0.54802674311726	0.201785114104411
F4.x$Stress	0.00676473421417467	0.416421666275949	0.128173970388706
F5.x$Stress	0.152951780055136	0.771860747576815	0.0320344782014854
F6.x$Stress	2.89929537881095e-05	0.109510747945898	0.00842690442126326
F7.x$Stress	0.290842457520121	0.984869508789169	0.222151994700147
F8.x$Stress	2.88657575875373e-06	0.998613998559255	3.66271528717821e-06
F9.x$Stress	0.00017396443589579	0.00334204571567309	4.48211467940496e-09
M1.x$Stress	0.00111646410303545	0.888954335622264	0.00396149899417164
M10.x$Stress	0.399510754694972	0.143175601339153	0.826823114300389
M11.x$Stress	0.00691022245136319	0.583431216167942	0.0849100467421346
M2.x$Stress	0.83176270674586	0.747792445472256	0.400036893363455
M3.x$Stress	0.602517706568954	0.54910506087187	0.995880100303
M4.x$Stress	3.5382385410232e-05	0.0876929267290553	0.00980850411115386
M5.x$Stress	8.9118706451119e-06	0.972736564701567	4.72591946210077e-06
M6.x$Stress	0.881223089581844	0.966641992278518	0.969548936754174
M7.x$Stress	0.00201760916704341	0.697495970687331	0.0203249429395556
M8.x$Stress	0.022065551190032	0.422632990554387	0.00103119300796761
M9.x$Stress	0.0019051322536966	0.943117417999413	0.000767811925982409
S1.x$Stress	4.08811360482764e-05	0.508212160629391	0.00174222106976296
S10.x$Stress	0.845355842616312	0.42161650767253	0.18648675524558
S11.x$Stress	0.00222868670990639	0.482739949381408	0.0363653986758856
S2.x$Stress	0.000357422183537293	0.994490001560971	0.000475836455550716
S3.x$Stress	2.16674901654113e-06	0.975783948079766	3.83064185860427e-06
S4.x$Stress	0.0210330824983757	0.913666603271669	0.00778044797134425
S5.x$Stress	0.037319000298714	0.203879315172006	0.682166399792737
S6.x$Stress	0.451356942680183	0.661869097744986	0.0983367635119017
S7.x$Stress	0.00480949346369719	0.882569353720178	0.00136875288319094
S8.x$Stress	0.0196115207013564	0.930708864513637	0.00793092931185491
S9.x$Stress	0.00200168425908631	0.348144522689446	4.03702391470473e-05
