"","sample","bp","bp_Nikolov2019","bp_Angiosperms353","bpoftarget","bpoftarget_Nikolov2019","bpoftarget_Angiosperms353","paralogs_all","paralogs_all_Nikolov2019","paralogs_all_Angiosperms353","paralogs_each","paralogs_each_Nikolov2019","paralogs_each_Angiosperms353","nloci","nloci_Nikolov2019","nloci_Angiosperms353","allele_divergence","allele_divergence_Nikolov2019","allele_divergence_Angiosperms353","allele_divergence_relative","locus_heterozygosity","locus_heterozygosity_Nikolov2019","locus_heterozygosity_Angiosperms353","locus_heterozygosity_relative","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","loci with >5% SNPs","loci with >10% SNPs"
"1","23Q06",1088814,815949,272865,92.4,92.1,93.4,0,0,0,0,0,0,1067,719,348,4.451,4.666,3.81,1.2246719160105,92.6,92.77,92.24,1.00574588031223,79.38,69.35,58.67,40.02,17.81
"2","23R10",1056465,786285,270180,89.7,88.8,92.5,0,0,0,1,0,0,1053,708,345,4.139,4.42,3.319,1.33172642362157,88.7,87.43,91.3,0.957612267250821,80.15,72.36,58.5,38.18,13.3
"3","S0055",1107930,832143,275787,94.1,93.9,94.4,0,0,0,72,31,41,1002,694,308,0.21,0.186,0.284,0.654929577464789,44.11,38.33,57.14,0.670808540427021,14.47,7.78,2,0,0
"4","S0320",979869,738438,241431,83.2,83.4,82.7,0,0,0,56,32,24,970,652,318,0.165,0.13,0.271,0.47970479704797,41.13,34.2,55.35,0.617886178861789,12.27,4.85,0,0,0
"5","S0548",1084719,818979,265740,92.1,92.5,91,0,0,0,0,0,0,1063,721,342,4.662,4.96,3.742,1.32549438802779,86.36,86.41,86.26,1.00173892881985,77.99,71.5,57.48,41.67,17.97
"6","S0555",1053909,792495,261414,89.5,89.5,89.5,0,0,0,94,75,19,942,621,321,1.245,1.298,1.084,1.19741697416974,65.07,63.12,68.85,0.91677559912854,53.5,44.48,27.6,4.03,0
"7","S0561",1095639,832572,263067,93,94,90.1,0,0,0,19,12,7,1046,706,340,3.782,3.836,3.611,1.06230960952645,98.57,98.3,99.12,0.991727199354318,97.42,96.08,89.48,22.28,0
"8","S0590",934710,698577,236133,79.4,78.9,80.9,0,0,0,3,3,0,959,630,329,4.426,4.37,4.593,0.951447855432179,87.7,86.35,90.27,0.956574720283594,82.59,77.37,65.69,39.52,11.57
"9","S1011",755049,558567,196482,64.1,63.1,67.3,0,0,0,7,4,3,860,557,303,5.471,5.478,5.452,1.00476889214967,96.98,97.31,96.37,1.00975407284425,95.47,92.44,83.72,50.7,13.95
"10","S1082",1111245,838581,272664,94.3,94.7,93.4,0,0,0,79,37,42,994,689,305,0.662,0.635,0.747,0.850066934404284,81.59,80.26,84.59,0.948811916302163,47.89,26.26,9.26,0,0
"11","S1204",1101798,828783,273015,93.5,93.6,93.5,0,0,0,27,19,8,1043,704,339,3.531,3.579,3.386,1.05699940933255,99.23,99.01,99.71,0.99297964095878,98.85,97.12,85.91,17.26,0
"12","S1208",917199,689649,227550,77.9,77.9,77.9,0,0,0,8,6,2,984,651,333,2.38,2.238,2.812,0.795874822190612,76.93,75.42,79.88,0.944166249374061,63.11,55.08,46.04,21.44,1.73
"13","S1211",1105863,832308,273555,93.9,94,93.7,0,0,0,28,8,20,1042,714,328,0.043,0.034,0.069,0.492753623188406,13.82,11.34,19.21,0.590317542946382,2.4,1.25,0,0,0
"14","S1315",1058958,793359,265599,89.9,89.6,90.9,0,0,0,47,31,16,1001,672,329,1.243,1.176,1.445,0.813840830449827,78.82,78.27,79.94,0.979109331998999,54.75,40.86,25.67,3.3,0
"15","S1375",1087509,810567,276942,92.3,91.5,94.8,0,0,0,50,35,15,1021,687,334,1.141,1.06,1.378,0.769230769230769,73.46,69.14,82.34,0.839689094000486,58.96,45.74,24.19,2.45,0
"16","S1407",1097190,820761,276429,93.2,92.7,94.7,0,0,0,35,20,15,1035,703,332,4.122,4.263,3.704,1.15091792656587,100,100,100,1,99.52,99.13,93.82,25.6,0
"17","S1509",1043865,785820,258045,88.6,88.7,88.4,0,0,0,1,0,0,1061,717,344,4.173,4.255,3.921,1.08518235144096,86.8,84.94,90.7,0.936493936052922,77,71.44,59.38,38.27,12.35
"18","S1625",1117539,841662,275877,94.9,95,94.5,0,0,0,51,25,26,1020,697,323,0.452,0.418,0.555,0.753153153153153,59.41,56.1,66.56,0.842848557692308,30.39,17.65,6.57,0,0
"19","S1897",980430,711072,269358,83.2,80.3,92.2,0,0,0,55,37,18,928,601,327,1.539,1.421,1.85,0.768108108108108,69.61,63.73,80.43,0.79236603257491,53.34,44.5,31.03,9.81,0
"20","SRR11470313",955653,692397,263256,81.1,78.2,90.1,0,0,0,14,3,11,918,597,321,0.015,0.016,0.012,1.33333333333333,9.48,11.22,6.23,1.80096308186196,0.11,0,0,0,0
"21","SRR8528357",1099197,825888,273309,93.3,93.2,93.6,0,0,0,20,8,12,1020,684,336,0.031,0.033,0.023,1.43478260869565,9.41,11.55,5.06,2.28260869565217,1.47,0.69,0,0,0
"22","SRR8528373",852504,811899,40605,72.4,91.7,13.9,0,0,0,110,105,5,647,601,46,0.994,1.011,0.655,1.54351145038168,89.34,90.68,71.74,1.26400892110399,70.63,44.51,15.15,0,0
"23","SRR8528380",840771,802341,38430,71.4,90.6,13.2,0,0,0,19,18,1,737,695,42,1.685,1.711,1.137,1.50483729111697,95.52,96.55,78.57,1.22884052437317,84.8,65.94,37.45,0.27,0
