Sp_speed,Sp_full_name,Sp_abb_name,Sp_Tribe,Sp_Lineage_Walden,Sp_Family,Sp_Guest
F1,Brassica_oleraceae_Rivera_Fast,Bo_F,Brassiceae,lineage_II,Brassicaceae,no
F10,Berteroa_incana,Bi,Alysseae,lineage_II,Brassicaceae,no
F11,Euclydium_syriacum,Es,Euclidieae,lineage_III,Brassicaceae,no
F12,Soil_Fast,S_F,Soil,Soil,Soil,no
F2,Pisum_sativum,Ps,Fabeae,Fabaceae,Fabaceae,yes
F3,Zea_mays,Zm,Andropogoneae,Poaceae,Poaceae,yes
F4,Arabidopsis_thaliana,At,Camelineae,lineage_I,Brassicaceae,yes
F5,Erysium_cheirantoides,Ec,Erysimae,lineage_I,Brassicaceae,no
F6,Barbarea_vulgaris,Bv,Cardamineae,lineage_I,Brassicaceae,no
F7,Malcomia_maritima,Mm,Malcolmieae,lineage_I,Brassicaceae,no
F8,Lepidium_ruderale,Lr,Lepidieae,lineage_I,Brassicaceae,no
F9,Lobularia_maritima,Lm,Anastaticeae,lineage_II,Brassicaceae,no
M1,Brassica_oleraceae_Rivera_Medium,Bo_M,Brassiceae,lineage_II,Brassicaceae,no
M10,Sinapis_alba,Sal,Brassiceae,lineage_II,Brassicaceae,no
M11,Sysimbrium_irio,Si,Sisymbrieae,lineage_II,Brassicaceae,no
M12,Soil_Medium,S_M,Soil,Soil,Soil,no
M2,Medicago_truncatula,Mt,Trifolieae,Fabaceae,Fabaceae,yes
M3,Brachypodium_distachyon,Bd,Brachypodieae,Poaceae,Poaceae,yes
M4,Arabidopsis_lyrata,Al,Camelineae,lineage_I,Brassicaceae,no
M5,Descurainia_sophiades,Ds,Descurainieae,lineage_I,Brassicaceae,no
M6,Camelina_sativa,Cas,Camelineae,lineage_I,Brassicaceae,no
M7,Turritis_glabra,Tg,Turritideae,lineage_I,Brassicaceae,no
M8,Brassica_nigra,Bn,Brassiceae,lineage_II,Brassicaceae,no
M9,Brassica_rapa,Br,Brassiceae,lineage_II,Brassicaceae,no
S1,Brassica_oleraceae_Rivera_Slow,Bo_S,Brassiceae,lineage_II,Brassicaceae,yes
S10,Sinapis_arvensis,Sar,Brassiceae,lineage_II,Brassicaceae,no
S11,Diplotaxis_tenuifolia,Dt,Brassiceae,lineage_II,Brassicaceae,no
S12,Soil_Slow,S_S,Soil,Soil,Soil,no
S2,Solanum_lycopersicum,Sl,Solaneae,Solanaceae,Solanaceae,yes
S3,Nicotiana_benthamiana,Nb,Nicotianeae,Solanaceae,Solanaceae,yes
S4,Cucumis_sativus,Cus,Benincaseae,Cucurbitacea,Cucurbitacea,yes
S5,Hirschfeldia_incana,Hi,Brassiceae,lineage_II,Brassicaceae,no
S6,Iberis_amara,Ia,Iberideae,lineage_II,Brassicaceae,no
S7,Cochlearia_officinalis,Co,Cochlearieae,lineage_II,Brassicaceae,no
S8,Isatis_tinctoria,It,Isatidae,lineage_II,Brassicaceae,no
S9,Brassica_oleraceae_Kimmeridge,BoK,Brassiceae,lineage_II,Brassicaceae,no
pre_planting,Soil_pre_planting,S_pre,Soil,Soil,Soil,no
