"Sp_abb_name","Sp_full_name.x","Species_new_name_correct","Tribe_new_correct","SuperTribe","Speed","Germination","Color_HEX","Color_RGB","Average_days","SD","Min_days","Max_days","Sp_full_name.y","Wild/ Cultivated","Life cycle","Salt tolerant","Dipping","Genome","Flowering","Seeds available","Sp_Tribe","MY_tree_presence","Species_old_name_correct","Family","Lineage","Tribe","Sample","Sampling comment","Taxonomic comment"
"Al","Arabidopsis_lyrata","Arabidopsis_lyrata","Arabidopsideae trib. nov.","Camelinodae_(I)","Medium",0.5,"#de70a8","222, 112, 168",17.55,3.60615904081583,13.75,21.75,"Arabidopsis_lyrata","Wild","Biennial or Perennial",NA,"Difficult","1",NA,"1","Camelineae","inside_MY_tree","Arabidopsis_lyrata","Brassicaceae","Lineage 1","Camelinae","S1082",NA,NA
"At","Arabidopsis_thaliana","Arabidopsis_thaliana","Arabidopsideae trib. nov.","Camelinodae_(I)","Fast",1,"#de70a8","222, 112, 168",13.6527777777778,2.31110855338289,11.5,15.6666666666667,"Arabidopsis_thaliana","Wild","Annual",NA,"Difficult","1","Yes",NA,"Camelineae","inside_MY_tree","Arabidopsis_thaliana","Brassicaceae","Lineage 1","Camelineae","S1211",NA,NA
"Cas","Camelina_sativa","Camelina_sativa","Camelineae I","Camelinodae_(I)","Medium",0.96,"#de70a8","222, 112, 168",17,3.16227766016838,14,21,"Camelina_sativa","Cultivated","Annual or Biennial",NA,NA,"1",NA,NA,"Camelineae","inside_MY_tree","Camelina_sativa","Brassicaceae","Lineage 1","Camelineae","S1204",NA,NA
"Tg","Turritis_glabra","Turritis_glabra","Turritideae","Camelinodae_(I)","Medium",0.75,"#de70a8","222, 112, 168",20.2142857142857,3.62863551898137,16.5714285714286,23.2857142857143,"Turritis_glabra","Wild","Annual or Biennial or Perennial",NA,NA,NA,NA,NA,"Turritideae","inside_MY_tree","Arabis_glabra","Brassicaceae","Expanded Lineage 2","Arabidae","SRR8528357","Data previously published by Nikolov et al. (2019)","Formerly Arabis glabra"
"Ec","Erysium_cheirantoides","Erysimum_cheiranthoides","Erysimeae","Camelinodae_(I)","Fast",0.22,"#de70a8","222, 112, 168",11.4,2.82842712474619,10.2,12.6,"Erysium_cheirantoides","Wild","Annual",NA,"Difficult",NA,NA,NA,"Erysimae","inside_MY_tree","Erysimum_cheiranthoides","Brassicaceae","Lineage 1","Erysimae","S0055",NA,NA
"Mm","Malcomia_maritima","Malcolmia_maritima","Malcolmieae","Camelinodae_(I)","Fast",0.72,"#de70a8","222, 112, 168",13.75,3.84638356621986,11,16.1666666666667,"Malcomia_maritima","Wild","Annual","1",NA,"1",NA,NA,"Malcolmieae","inside_MY_tree","Malcolmia_maritima","Brassicaceae","Lineage 1","Malcolmieae","S1375",NA,NA
"Ds","Descurainia_sophiades","Descurainia_sophia","Descurainieae","Camelinodae_(I)","Medium",0.26,"#de70a8","222, 112, 168",15.225,3.89511843424073,10.5,20,"Descurainia_sophiades","Wild","Annual",NA,NA,"1",NA,NA,"Descurainieae","inside_MY_tree","Descurainia_sophia","Brassicaceae","Lineage 1","Descurainieae","S1407",NA,NA
"Lr","Lepidium_ruderale","Lepidium_ruderale","Lepidieae","Camelinodae_(I)","Fast",0.38,"#de70a8","222, 112, 168",15.45,2.51832601733176,13,18.2,"Lepidium_ruderale","Wild","Annual or Biennial",NA,NA,NA,NA,NA,"Lepidieae","inside_MY_tree","Lepidium_ruderale","Brassicaceae","Lineage 1","Lepidieae","S0561",NA,NA
"Bv","Barbarea_vulgaris","Barbarea_vulgaris","Cardamineae","Camelinodae_(I)","Fast",0.82,"#de70a8","222, 112, 168",15.2238095238095,3.09481204839193,11.5714285714286,18.4285714285714,"Barbarea_vulgaris","Wild","Biennial or Perennial",NA,"Difficult",NA,NA,NA,"Cardamineae","inside_MY_tree","Barbarea_vulgaris","Brassicaceae","Lineage 1","Cardamineae","S1625",NA,NA
"Bi","Berteroa_incana","Berteroa_incana","Alysseae","Arabodae_(IV)","Fast",0.95,"#9474e1","148, 116, 225",17.3333333333333,4.16333199893227,14,22,"Berteroa_incana","Wild","Annual or Perennial",NA,"Difficult",NA,NA,NA,"Alysseae","inside_MY_tree","Berteroa_incana","Brassicaceae","Expanded Lineage 2","Alysseae","S1315",NA,NA
