ID,round,treated,concentration,dipped,hoagland,lineage,tribe,species,0_das,1_das,3_das,6_das,7_das,8_das,9_das,10_das,11_das,12_das,13_das,14_das,15_das,16_das,17_das,18_das,19_das,20_das,21_das,22_das,23_das,24_das,25_das,26_das,27_das,28_das,29_das,30_das,31_das,32_das,33_das,34_das,35_das,36_das,38_das,39_das
37,1,MeJA,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,4.5,,5.5,,5.5,,,7.5,,8.5,,,,,,,,
38,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,4.5,,5.5,,6.5,,,7.5,,8.5,,,,,,,,
39,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,2,,2.5,,3,,,4,,4.5,,6,,,7,,7.5,,,,,,,,
40,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,4.5,,5.5,,6.5,,,7.5,,9.5,,,,,,,,
41,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,2,,3,,3.5,,,4.5,,5,,5.5,,,6.5,,6.5,,,,,,,,
42,1,MeJA,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,5.5,,5.5,,6.5,,,7.5,,8.5,,,,,,,,
43,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,4.5,,5.5,,6.5,,,7.5,,8.5,,,,,,,,
44,1,MeJA,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3,,4,,,4.5,,5.5,,6.5,,,8,,8.5,,,,,,,,
45,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,2,,3,,3.5,,,4.5,,5.5,,6.5,,,7.5,,8.5,,,,,,,,
46,1,MeJA,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,2,,3.5,,4.5,,,4.5,,5.5,,6.5,,,7.5,,7.5,,,,,,,,
47,1,MeJA,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,2,,3,,3.5,,,4.5,,4.5,,5.5,,,6.5,,6.5,,,,,,,,
48,1,control,0.5mM,1,0,expanded lineage II,Arabidae,Arabis_glabra,0,,,,0,,,,,2,,3,,3.5,,4,,,4.5,,5.5,,6.5,,,7.5,,8.5,,,,,,,,
49,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,2.5,,3,,3.5,,,4,,4.5,,,4.5,,,,4.5,
50,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,2.5,,3.5,,4,,,4.5,,5,,,5.5,,,,6,
51,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,2,,2.5,,2.5,,3,,,3.5,,4,,4.5,,,5.5,,6,,,7.5,,,,7.5,
52,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,2,,2.5,,4,,,5,,6,,,5,,,,6,
53,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,2,,2,,2.5,,2.5,,,3,,4,,4.5,,,5,,5,,,5.5,,,,6,
54,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,2,,2,,2,,2.5,,,3,,4,,5,,,6,,6,,,6,,,,6,
55,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,2.5,,3,,4,,,4,,5,,,6,,,,6,
56,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,3,,2.5,,2.5,,,3,,3,,,6.5,,,,6.5,
57,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,3,,3.5,,4,,,5,,6,,,6,,,,6,
58,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,2,,2,,2,,2.5,,,3,,3,,3.5,,,4,,5,,,6,,,,7.5,
59,1,control,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,1.5,,2,,2,,2,,,3,,4,,5,,,5,,5,,,5,,,,5,
60,1,MeJA,1mM,2,0,lineage II,Brassiceae,Sinapis_arvensis,0,,,,0,,,,,0,,1,,2,,2,,,2,,2,,2.5,,,4,,4,,,4.5,,,,5,
61,1,MeJA,1mM,1,0,lineage II,Brassiceae,Brassica_nigra,0,,,,0,,,,,2,,2.5,,3,,3.5,,,4,,4,,4.5,,,5.5,,5.5,,,,,,,,
62,1,control,1mM,1,0,lineage II,Brassiceae,Brassica_nigra,0,,,,0,,,,,2,,2.5,,3,,3.5,,,4,,4.5,,4.5,,,5.5,,5.5,,,,,,,,
63,1,control,1mM,1,0,lineage II,Brassiceae,Brassica_nigra,0,,,,0,,,,,2,,2.5,,4,,4,,,4,,4.5,,5,,,5.5,,6.5,,,,,,,,
64,1,control,1mM,1,0,lineage II,Brassiceae,Brassica_nigra,0,,,,0,,,,,2,,2.5,,4,,4,,,4,,4,,4.5,,,5.5,,5.5,,,,,,,,
