sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
97_16S	16S	97	1.6.13	F1	Control	Fast	1	6	13	0.2940625	70.2	F1_F2	A1	A	1	1	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.73	0	0	0	normal	0				VAL12505774-A01	26.8
98_16S	16S	98	2.2.5	F1	Control	Fast	2	2	5	0.1240625	45.3	F1_F2	B1	B	1	2	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.856	0	1	0	normal	0				VAL12505774-B01	29.5
99_16S	16S	99	3.4.8	F1	Control	Fast	3	4	8	0.4840625	112.7	F1_F2	C1	C	1	3	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.948	0	0	0	normal	0				VAL12505774-C01	26.8
100_16S	16S	100	4.6.3	F1	Control	Fast	4	6	3	0.2940625	109.4	F1_F2	D1	D	1	4	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.885	0	0	0	normal	0				VAL12505774-D01	24.9
101_16S	16S	101	5.5.16	F1	Control	Fast	5	5	16	0.3540625	83.3	F1_F2	E1	E	1	5	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.025	0	0	0	normal	0				VAL12505774-E01	26.3
102_16S	16S	102	6.1.10	F1	Control	Fast	6	1	10	0.2840625	61	F1_F2	F1	F	1	6	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			Agros 6-10_Sept	VAL12505774-F01	25.6
103_16S	16S	103	7.4.4	F1	Control	Fast	7	4	4	0.1840625	60.8	F1_F2	G1	G	1	7	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.911	0	0	0	normal	0				VAL12505774-G01	24.8
104_16S	16S	104	8.5.2	F1	Control	Fast	8	5	2	0.3440625	49.9	F1_F2	H1	H	1	8	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.622	0	1	0	normal	0				VAL12505774-H01	23.6
105_16S	16S	105	9.1.7	F1	Control	Fast	9	1	7	0.4140625	51.9	F1_F2	A2	A	2	9	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-A02	27.1
106_16S	16S	106	10.4.14	F1	Control	Fast	10	4	14	0.1640625	58.6	F1_F2	B2	B	2	10	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-B02	26.8
107_16S	16S	107	11.3.12	F1	Control	Fast	11	3	12	0.2240625	82.6	F1_F2	C2	C	2	11	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.097	0	0	0	normal	0				VAL12505774-C02	26.4
108_16S	16S	108	12.4.17	F1	Control	Fast	12	4	17	0.1540625	55.2	F1_F2	D2	D	2	12	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.85	0	0	0	normal	0				VAL12505774-D02	29.8
109_16S	16S	109	13.3.11	F1	Control	Fast	13	3	11	0.5140625	53.3	F1_F2	E2	E	2	13	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.891	0	1	0	normal	0				VAL12505774-E02	27
110_16S	16S	110	14.2.1	F1	Control	Fast	14	2	1	0.3740625	51.2	F1_F2	F2	F	2	14	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-F02	26.5
111_16S	16S	111	15.2.6	F1	Control	Fast	15	2	6	0.6240625	94.2	F1_F2	G2	G	2	15	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.738	0	0	0	normal	0				VAL12505774-G02	26.9
112_16S	16S	112	16.1.9	F1	Control	Fast	16	1	9	0.2640625	64.4	F1_F2	H2	H	2	16	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.774	0	0	0	normal	0				VAL12505774-H02	23.4
113_16S	16S	113	1.5.16	F1	MeJA	Fast	1	5	16	0.5840625	45.1	F1_F2	A3	A	3	17	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.565	0	0	0	normal	0				VAL12505774-A03	24.9
114_16S	16S	114	2.2.12	F1	MeJA	Fast	2	2	12	0.5740625	51.6	F1_F2	B3	B	3	18	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.628	0	0	0	normal	0				VAL12505774-B03	25.7
115_16S	16S	115	3.2.15	F1	MeJA	Fast	3	2	15	0.4440625	61	F1_F2	C3	C	3	19	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.598	0	1	0	normal	0				VAL12505774-C03	25.2
116_16S	16S	116	4.2.11	F1	MeJA	Fast	4	2	11	0.3740625	49.9	F1_F2	D3	D	3	20	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.552	0	0	0	normal	0				VAL12505774-D03	25.1
117_16S	16S	117	5.2.17	F1	MeJA	Fast	5	2	17	0.9340625	113.2	F1_F2	E3	E	3	21	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.016	0	0	0	normal	0				VAL12505774-E03	24.9
