sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
97_ITS	ITS	97	1.6.13	F1	Control	Fast	1	6	13	0.2940625	70.2	F1_F2	A1	A	1	1	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.73	0	0	0	normal	0				VAL12505804-A01	37.469
98_ITS	ITS	98	2.2.5	F1	Control	Fast	2	2	5	0.1240625	45.3	F1_F2	B1	B	1	2	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.856	0	1	0	normal	0				VAL12505804-B01	32.107
99_ITS	ITS	99	3.4.8	F1	Control	Fast	3	4	8	0.4840625	112.7	F1_F2	C1	C	1	3	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.948	0	0	0	normal	0				VAL12505804-C01	30.68
100_ITS	ITS	100	4.6.3	F1	Control	Fast	4	6	3	0.2940625	109.4	F1_F2	D1	D	1	4	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.885	0	0	0	normal	0				VAL12505804-D01	28.724
101_ITS	ITS	101	5.5.16	F1	Control	Fast	5	5	16	0.3540625	83.3	F1_F2	E1	E	1	5	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.025	0	0	0	normal	0				VAL12505804-E01	28.844
102_ITS	ITS	102	6.1.10	F1	Control	Fast	6	1	10	0.2840625	61	F1_F2	F1	F	1	6	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			Agros 6-10_Sept	VAL12505804-F01	26.017
103_ITS	ITS	103	7.4.4	F1	Control	Fast	7	4	4	0.1840625	60.8	F1_F2	G1	G	1	7	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.911	0	0	0	normal	0				VAL12505804-G01	28.976
104_ITS	ITS	104	8.5.2	F1	Control	Fast	8	5	2	0.3440625	49.9	F1_F2	H1	H	1	8	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.622	0	1	0	normal	0				VAL12505804-H01	26.032
105_ITS	ITS	105	9.1.7	F1	Control	Fast	9	1	7	0.4140625	51.9	F1_F2	A2	A	2	9	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-A02	31.351
106_ITS	ITS	106	10.4.14	F1	Control	Fast	10	4	14	0.1640625	58.6	F1_F2	B2	B	2	10	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-B02	28.702
107_ITS	ITS	107	11.3.12	F1	Control	Fast	11	3	12	0.2240625	82.6	F1_F2	C2	C	2	11	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.097	0	0	0	normal	0				VAL12505804-C02	31.781
108_ITS	ITS	108	12.4.17	F1	Control	Fast	12	4	17	0.1540625	55.2	F1_F2	D2	D	2	12	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.85	0	0	0	normal	0				VAL12505804-D02	26.941
109_ITS	ITS	109	13.3.11	F1	Control	Fast	13	3	11	0.5140625	53.3	F1_F2	E2	E	2	13	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.891	0	1	0	normal	0				VAL12505804-E02	26.097
110_ITS	ITS	110	14.2.1	F1	Control	Fast	14	2	1	0.3740625	51.2	F1_F2	F2	F	2	14	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-F02	24.981
111_ITS	ITS	111	15.2.6	F1	Control	Fast	15	2	6	0.6240625	94.2	F1_F2	G2	G	2	15	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.738	0	0	0	normal	0				VAL12505804-G02	26.663
112_ITS	ITS	112	16.1.9	F1	Control	Fast	16	1	9	0.2640625	64.4	F1_F2	H2	H	2	16	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.774	0	0	0	normal	0				VAL12505804-H02	25.484
113_ITS	ITS	113	1.5.16	F1	MeJA	Fast	1	5	16	0.5840625	45.1	F1_F2	A3	A	3	17	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.565	0	0	0	normal	0				VAL12505804-A03	31.443
114_ITS	ITS	114	2.2.12	F1	MeJA	Fast	2	2	12	0.5740625	51.6	F1_F2	B3	B	3	18	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.628	0	0	0	normal	0				VAL12505804-B03	28.226
115_ITS	ITS	115	3.2.15	F1	MeJA	Fast	3	2	15	0.4440625	61	F1_F2	C3	C	3	19	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.598	0	1	0	normal	0				VAL12505804-C03	26.955
116_ITS	ITS	116	4.2.11	F1	MeJA	Fast	4	2	11	0.3740625	49.9	F1_F2	D3	D	3	20	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.552	0	0	0	normal	0				VAL12505804-D03	28.46
117_ITS	ITS	117	5.2.17	F1	MeJA	Fast	5	2	17	0.9340625	113.2	F1_F2	E3	E	3	21	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.016	0	0	0	normal	0				VAL12505804-E03	30.802
118_ITS	ITS	118	6.1.4	F1	MeJA	Fast	6	1	4	0.4840625	77	F1_F2	F3	F	3	22	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505804-F03	25.785
119_ITS	ITS	119	7.4.3	F1	MeJA	Fast	7	4	3	0.3740625	62.8	F1_F2	G3	G	3	23	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.686	0	0	0	normal	0				VAL12505804-G03	28.961
120_ITS	ITS	120	8.3.13	F1	MeJA	Fast	8	3	13	0.4640625	54.9	F1_F2	H3	H	3	24	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.505	0	0	0	normal	0				VAL12505804-H03	24.738
121_ITS	ITS	121	9.1.6	F1	MeJA	Fast	9	1	6	0.4740625	68.6	F1_F2	A4	A	4	25	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	1	0	normal	0			PPH 1st batch	VAL12505804-A04	35.627
122_ITS	ITS	122	10.2.10	F1	MeJA	Fast	10	2	10	0.4640625	58.2	F1_F2	B4	B	4	26	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505804-B04	23.317
123_ITS	ITS	123	11.2.2	F1	MeJA	Fast	11	2	2	0.3540625	72.6	F1_F2	C4	C	4	27	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.75	0	0	0	normal	0				VAL12505804-C04	26.434
124_ITS	ITS	124	12.5.1	F1	MeJA	Fast	12	5	1	0.3040625	81.5	F1_F2	D4	D	4	28	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.589	0	0	0	normal	0				VAL12505804-D04	38.365
125_ITS	ITS	125	13.5.5	F1	MeJA	Fast	13	5	5	0.3540625	116.8	F1_F2	E4	E	4	29	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.791	0	0	0	normal	0				VAL12505804-E04	25.568
126_ITS	ITS	126	14.4.8	F1	MeJA	Fast	14	4	8	0.3140625	85.7	F1_F2	F4	F	4	30	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505804-F04	24.701
127_ITS	ITS	127	15.5.14	F1	MeJA	Fast	15	5	14	1.1240625	54.7	F1_F2	G4	G	4	31	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.716	0	0	0	normal	0				VAL12505804-G04	25.611
128_ITS	ITS	128	16.2.7	F1	MeJA	Fast	16	2	7	0.2540625	65.7	F1_F2	H4	H	4	32	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.685	0	0	0	normal	0				VAL12505804-H04	26.616
129_ITS	ITS	129	1.4.11	F1	SA	Fast	1	4	11	0.5240625	57.4	F1_F2	A5	A	5	33	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.706	0	1	0	normal	0				VAL12505804-A05	32.421
130_ITS	ITS	130	2.4.17	F1	SA	Fast	2	4	17	0.5040625	64.5	F1_F2	B5	B	5	34	rhizoplane	2.12	1_2	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.722	0	0	0	normal	0				VAL12505804-B05	25.89
131_ITS	ITS	131	3.4.16	F1	SA	Fast	3	4	16	0.6240625	71.7	F1_F2	C5	C	5	35	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.041	0	0	0	normal	0				VAL12505804-C05	28.035
132_ITS	ITS	132	4.4.7	F1	SA	Fast	4	4	7	0.4640625	70.7	F1_F2	D5	D	5	36	rhizoplane	2.12	3_4	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.746	0	1	0	normal	0				VAL12505804-D05	27.596
133_ITS	ITS	133	5.2.15	F1	SA	Fast	5	2	15	0.6640625	122.1	F1_F2	E5	E	5	37	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.885	0	0	0	normal	0				VAL12505804-E05	31.947
134_ITS	ITS	134	6.4.5	F1	SA	Fast	6	4	5	0.4540625	83.7	F1_F2	F5	F	5	38	rhizoplane	2.12	5_6	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0				VAL12505804-F05	28.692
135_ITS	ITS	135	7.3.12	F1	SA	Fast	7	3	12	0.5840625	86.4	F1_F2	G5	G	5	39	rhizoplane	2.12	7_8	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	1.12	0	1	0	normal	0				VAL12505804-G05	33.023
